product_name,product_image,payback_points,product_link,payback_condition,product_quantity,tag_label,price,product_information,store_address,store,category,date,offer_duration
Rispentomaten,https://offer-images.api.edeka/edd00d8f-5d7f-4400-b4c9-b34e1a45272b_AdobeStock_15425561.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus den Niederlanden oder Belgien, Klasse I, 1 kg",SUPERKNÜLLER,0.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
Wassermelonen „Dumara“,https://offer-images.api.edeka/cc394172-6e93-4173-b962-67b4768346ec_426_iq.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Italien, Klasse I, Stück
 
• Ganze Früchte – Mindestgewicht 7,5 kg",SUPERKNÜLLER,7.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
Zuckermais,https://offer-images.api.edeka/38688067-3265-48d9-ac25-23ee7264a755_Maiskolben_iq.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"vorgegart, 2 Stück, Packung
 
• gekocht",Kein Etikett,1.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
Bratpaprika „Padron“,https://offer-images.api.edeka/07120838-c1ce-45e1-aea0-a8e8fba74c43_4311527919796_VOR.tif.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Spanien, Klasse I, 200-g-Packung",Kein Etikett,1.49,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
SanLucar Cocktail Rispentomaten „Rubin“,https://offer-images.api.edeka/4408bc8d-8d7b-43e5-ac1b-58b5a63d8bfe_Rubin_tomaten_400g_flowpack_DEU.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Deutschland, Klasse I, 400-g-Schale",Kein Etikett,2.49,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
EDEKA Avocados,https://offer-images.api.edeka/5c10fc15-14b5-4c1d-ac73-bc831f3dd604_AdobeStock_51029296.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Peru oder Südafrika, Klasse I, Stück",SUPERKNÜLLER,1.11,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
Zespri Kiwis,https://offer-images.api.edeka/7ce2da62-b6d6-4982-b840-5441c3707719_Zespri_Kiwi.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Neuseeland, Klasse I, Stück",Kein Etikett,0.55,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
SanLucar Aprikosen,https://offer-images.api.edeka/162bb9a1-1662-4ded-943e-03b55d72b0e1_San_LucarAprikosen.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Spanien, Klasse I, 1 kg",Kein Etikett,3.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
Pink Lady Äpfel,https://offer-images.api.edeka/b7f1694e-d13f-47dd-87f1-648b78db9dc6_80045559-AEPFEL_PINK_LADY_CL_I_1KG_FT-C.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Neuseeland oder Südafrika, Klasse I, 1-kg-Schale
 
• Neue Ernte",Kein Etikett,2.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
SanLucar Saftorangen,https://offer-images.api.edeka/267fdffa-fca1-48b4-8ccb-a31988a054bf_Orangen_Saftorangen_Morgensonne_1500g_Girsack.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Spanien, Klasse I, 1,5-kg-Netz",Kein Etikett,3.33,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
