product_name,product_image,payback_points,product_link,payback_condition,product_quantity,tag_label,price,product_information,store_address,store,category,date,offer_duration
Bio Topfkräuter „Basilikum“,https://offer-images.api.edeka/4754d953-8586-4335-aa15-eeff7bfb32fc_80728526-BIO_UHB_BASILIK.I.T.12CM_DE-BW.png?imwidth=3840&imdensity=1,,,,"aus Deutschland, Topf",,1.79,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-07,
SanLucar Romatomaten „Topf“,https://offer-images.api.edeka/1ffd0ada-5d10-4a43-973f-e8fb863bebea_Schlemmer_Tomaten_650g_flowpack_DEU.png?imwidth=3840&imdensity=1,,,,"aus Deutschland, Klasse I, 650-g-Schale",,2.77,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-07,
Unsere Heimat – echt & gut Bio Mini Pflaumentomaten,https://offer-images.api.edeka/1d86f9ee-fe82-4304-8f5b-cf8d07dba3bf_80551443-BIO_UHB_M.RO.TOM.DE-BW_II_200G-A.png?imwidth=3840&imdensity=1,,,,"aus Deutschland, Klasse II, 200-g-Schale",,2.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-07,
Cherry-Rispentomaten „Juanita“,https://offer-images.api.edeka/c33aa83c-2a43-41f0-b535-2c345c0a5341_80468749-CHERRY_RISPENTOM._NL_I_400G_KB-C.png?imwidth=3840&imdensity=1,,,,"aus den Niederlanden, Klasse I, 300-g-Körbchen",,1.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-07,
SanLucar Rispentomaten „Caprese“,https://offer-images.api.edeka/0b809b20-c73f-4cc8-bf58-f34e881134e6_Caprese_Tomaten_650g_Flowpack_DEU.png?imwidth=3840&imdensity=1,,,,"aus Deutschland, Klasse I, 650-g-Schale",,2.77,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-07,
Melonen „Charentais“,https://offer-images.api.edeka/a2f2e483-4d6e-4635-aeb1-81270048e6a8_melone_charentais_scheck.png?imwidth=3840&imdensity=1,,,,"aus Frankreich, Klasse I, Stück",,4.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-07,
Melonen „Limetten sweet“,https://offer-images.api.edeka/5f2fd172-ac54-42f7-90e8-84ea9e529a67_Limelon_Melone.png?imwidth=3840&imdensity=1,,,,"aus Spanien, Klasse I, Stück",,4.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-07,
Melonen „Sugar Baby gold“,https://offer-images.api.edeka/2d826ba9-0198-4caa-abbe-b0b3293c1528_4311527636433_DET.tif.png?imwidth=3840&imdensity=1,,,,"aus Spanien, Klasse I, Stück",,3.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-07,
Bio Avocado,https://offer-images.api.edeka/3f833167-a963-46a7-927b-78b2defe43b4_AdobeStock_51029296.png?imwidth=3840&imdensity=1,,,,"aus Peru oder Chile, Klasse II, Stück",SUPERKNÜLLER,1.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-07,
Bio idene Bananen,https://offer-images.api.edeka/1c93ae8b-864a-4a11-8cc7-c8313eaba548_Demeter_Banane_gespiegelt.png?imwidth=3840&imdensity=1,,,,"die ideale Zwischenmahlzeit, 1 kg",,2.22,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-07,
